First hand speed;Second hand speed
23.19302;5.922909
23.19302;5.922909
23.87627;5.253559
23.87627;5.253559
23.87627;5.253559
23.87627;5.253559
20.51266;12.00163
20.51266;12.00163
20.51266;12.00163
22.48617;30.14328
22.48617;30.14328
22.48617;30.14328
28.64699;64.91161
28.64699;64.91161
28.64699;64.91161
28.64699;64.91161
39.40542;71.71633
39.40542;71.71633
39.40542;71.71633
44.64561;84.33993
44.64561;84.33993
44.64561;84.33993
45.23127;55.70646
45.23127;55.70646
45.23127;55.70646
46.11068;47.97359
46.11068;47.97359
46.92531;38.70388
46.92531;38.70388
46.92531;38.70388
52.74549;45.77735
52.74549;45.77735
52.74549;45.77735
35.19448;43.01255
35.19448;43.01255
35.19448;43.01255
19.36699;39.01112
19.36699;39.01112
12.42064;30.29704
12.42064;30.29704
12.42064;30.29704
9.13084;16.31539
9.13084;16.31539
9.13084;16.31539
15.57504;17.62306
15.57504;17.62306
18.5373;9.115449
18.5373;9.115449
18.5373;9.115449
16.87635;5.05915
16.87635;5.05915
16.87635;5.05915
29.86859;4.761173
29.86859;4.761173
29.86859;4.761173
34.41687;7.67303
34.41687;7.67303
34.41687;7.67303
11.67125;8.863045
11.67125;8.863045
5.757293;8.864759
5.757293;8.864759
5.757293;8.864759
5.882103;13.16991
5.882103;13.16991
5.882103;13.16991
12.23212;17.96855
12.23212;17.96855
12.23212;17.96855
14.2419;19.17153
14.2419;19.17153
14.2419;19.17153
16.12028;17.06329
16.12028;17.06329
16.12028;17.06329
15.596;12.5141
15.596;12.5141
15.596;12.5141
15.596;12.5141
13.30429;12.39056
13.30429;12.39056
13.30429;12.39056
10.64311;11.35543
10.64311;11.35543
10.64311;11.35543
8.134313;11.64162
8.134313;11.64162
8.134313;11.64162
8.134313;11.64162
2.699035;7.742677
2.699035;7.742677
2.699035;7.742677
2.27901;7.746216
2.27901;7.746216
2.27901;7.746216
6.132356;8.135875
6.132356;8.135875
6.132356;8.135875
6.132356;8.135875
17.33358;11.52855
17.33358;11.52855
17.33358;11.52855
20.74842;8.350906
20.74842;8.350906
20.74842;8.350906
16.02642;12.67428
16.02642;12.67428
16.02642;12.67428
16.02642;12.67428
18.29308;10.0279
18.29308;10.0279
18.29308;10.0279
17.43071;17.52087
17.43071;17.52087
17.43071;17.52087
12.23944;17.2676
12.23944;17.2676
12.23944;17.2676
12.23944;17.2676
9.440454;17.47923
9.440454;17.47923
9.440454;17.47923
8.68707;11.96375
8.68707;11.96375
8.68707;11.96375
8.68707;11.96375
6.70259;12.74358
6.70259;12.74358
6.70259;12.74358
7.504141;12.17597
7.504141;12.17597
7.504141;12.17597
8.388535;11.06527
8.388535;11.06527
8.388535;11.06527
8.388535;11.06527
7.207861;9.039009
7.207861;9.039009
7.207861;9.039009
7.487864;5.431065
7.487864;5.431065
7.487864;5.431065
8.872348;7.281663
8.872348;7.281663
8.872348;7.281663
7.137676;1.361691
7.137676;1.361691
7.137676;1.361691
7.137676;1.361691
5.923381;2.402309
5.923381;2.402309
5.923381;2.402309
5.923381;2.402309
4.249449;3.82195
4.249449;3.82195
4.249449;3.82195
2.808573;7.081703
2.808573;7.081703
2.808573;7.081703
2.808573;7.081703
3.492586;12.20878
3.492586;12.20878
3.492586;12.20878
4.740506;13.44019
4.740506;13.44019
4.740506;13.44019
4.740506;13.44019
6.271753;14.55656
6.271753;14.55656
6.271753;14.55656
4.794196;16.10125
4.794196;16.10125
4.794196;16.10125
4.794196;16.10125
4.397869;20.9977
4.397869;20.9977
4.397869;20.9977
4.397869;20.9977
4.002327;40.17109
4.002327;40.17109
4.002327;40.17109
3.197495;22.03832
3.197495;22.03832
3.197495;22.03832
3.197495;22.03832
2.95409;28.8055
2.95409;28.8055
2.95409;28.8055
3.473668;24.79322
3.473668;24.79322
3.473668;24.79322
3.346314;20.82763
3.346314;20.82763
3.346314;20.82763
2.672523;12.39833
2.672523;12.39833
2.672523;12.39833
2.672523;12.39833
4.64;11.27697
4.64;11.27697
4.64;11.27697
3.59617;5.813351
3.59617;5.813351
3.59617;5.813351
1.713593;4.4353
1.713593;4.4353
1.713593;4.4353
2.22239;7.263285
2.22239;7.263285
2.22239;7.263285
3.009561;9.501035
3.009561;9.501035
3.009561;9.501035
1.46623;8.750956
1.46623;8.750956
1.46623;8.750956
3.806155;9.712897
3.806155;9.712897
3.806155;9.712897
3.22202;11.34969
3.22202;11.34969
3.22202;11.34969
4.158333;15.37469
4.158333;15.37469
4.158333;15.37469
4.158333;15.37469
3.970887;16.18334
3.970887;16.18334
3.970887;16.18334
5.728734;15.34212
5.728734;15.34212
5.728734;15.34212
5.728734;15.34212
8.503842;20.63166
8.503842;20.63166
8.503842;20.63166
12.14317;22.74282
12.14317;22.74282
12.14317;22.74282
12.14317;22.74282
12.38038;27.16968
12.38038;27.16968
12.38038;27.16968
11.85355;22.34542
11.85355;22.34542
11.85355;22.34542
11.85355;22.34542
16.15728;21.82781
16.15728;21.82781
16.15728;21.82781
18.84298;23.7778
18.84298;23.7778
18.84298;23.7778
17.28667;26.74378
17.28667;26.74378
17.28667;26.74378
16.27642;28.13573
16.27642;28.13573
16.27642;28.13573
13.90246;38.70925
13.90246;38.70925
13.90246;38.70925
11.3479;30.85277
11.3479;30.85277
11.3479;30.85277
9.851857;35.89907
9.851857;35.89907
9.851857;35.89907
5.743911;35.41779
5.743911;35.41779
5.743911;35.41779
10.86693;24.90909
10.86693;24.90909
10.86693;24.90909
