First hand speed;Second hand speed;First hand palm position;;;Second hand palm position;;;First hand fingers position;;;;;;;;;;;;;;;Second hand fingers position;;;;;;;;;;;;;;;First hand grab strength;Second hand grab strength
89.15717;60.33255;114.2303;185.3654;25.12159;-73.07108;184.1223;52.11336;41.74943;222.068;44.91883;64.74879;212.9594;-43.5896;67.55864;195.2939;-61.66368;70.55359;174.8932;-59.24001;77.48635;149.8034;-43.2606;-12.76794;177.1234;35.12896;-44.72327;189.6692;-29.68369;-61.15022;201.1691;-43.42138;-81.81902;201.9222;-37.68803;-103.7886;197.4573;-18.70691;0;0
67.10025;57.06995;115.4744;185.0122;24.3274;-73.94961;185.048;52.30687;41.74943;222.068;44.91883;64.74879;212.9594;-43.5896;67.55864;195.2939;-61.66368;70.55359;174.8932;-59.24001;77.48635;149.8034;-43.2606;-13.71564;178.3693;35.18355;-46.23151;190.3537;-28.84075;-62.43373;201.3586;-42.61367;-82.86477;201.9261;-36.88457;-104.8531;197.6194;-18.15423;0;0
64.61275;68.73605;116.8045;184.891;23.70418;-74.96597;186.1816;52.68103;41.74943;222.068;44.91883;64.74879;212.9594;-43.5896;67.55864;195.2939;-61.66368;70.55359;174.8932;-59.24001;77.48635;149.8034;-43.2606;-15.00748;179.4418;35.3763;-47.81333;190.7401;-27.32737;-63.7674;200.6738;-41.18406;-83.58078;200.8353;-35.61666;-105.9686;197.6333;-17.46818;0;0
64.64823;74.60089;118.0192;184.7737;22.89143;-75.97439;187.5068;52.9804;41.74943;222.068;44.91883;64.74879;212.9594;-43.5896;67.55864;195.2939;-61.66368;70.55359;174.8932;-59.24001;77.48635;149.8034;-43.2606;-16.55119;180.4854;35.52999;-49.45527;191.6667;-26.11127;-65.3809;200.8383;-39.98642;-84.78048;200.613;-34.54152;-107.1589;197.8558;-16.75232;0;0
64.64823;74.60089;118.0192;184.7737;22.89143;-75.97439;187.5068;52.9804;41.74943;222.068;44.91883;64.74879;212.9594;-43.5896;67.55864;195.2939;-61.66368;70.55359;174.8932;-59.24001;77.48635;149.8034;-43.2606;-16.55119;180.4854;35.52999;-49.45527;191.6667;-26.11127;-65.3809;200.8383;-39.98642;-84.78048;200.613;-34.54152;-107.1589;197.8558;-16.75232;0;0
60.94923;73.33423;119.0505;184.1958;22.15761;-76.86536;188.8382;53.46704;41.74943;222.068;44.91883;64.74879;212.9594;-43.5896;67.55864;195.2939;-61.66368;70.55359;174.8932;-59.24001;77.48635;149.8034;-43.2606;-17.85296;181.6225;35.90566;-50.66495;192.485;-25.14095;-66.58851;201.3501;-38.9686;-85.66293;200.8177;-33.50176;-107.9164;198.1675;-15.8824;0;0
56.74024;69.68896;119.9773;183.3963;21.76064;-77.53933;190.1024;54.13427;41.74943;222.068;44.91883;64.74879;212.9594;-43.5896;67.55864;195.2939;-61.66368;70.55359;174.8932;-59.24001;77.48635;149.8034;-43.2606;-18.57771;183.0717;36.41962;-51.16687;192.8644;-24.17096;-67.11672;201.2955;-37.83343;-85.99893;200.55;-32.28433;-108.0973;198.136;-14.79214;0;0
56.74024;69.68896;119.9773;183.3963;21.76064;-77.53933;190.1024;54.13427;41.74943;222.068;44.91883;64.74879;212.9594;-43.5896;67.55864;195.2939;-61.66368;70.55359;174.8932;-59.24001;77.48635;149.8034;-43.2606;-18.57771;183.0717;36.41962;-51.16687;192.8644;-24.17096;-67.11672;201.2955;-37.83343;-85.99893;200.55;-32.28433;-108.0973;198.136;-14.79214;0;0
52.6607;64.17955;121.0799;183.188;21.34378;-78.07693;191.2925;54.78447;41.74943;222.068;44.91883;64.74879;212.9594;-43.5896;67.55864;195.2939;-61.66368;70.55359;174.8932;-59.24001;77.48635;149.8034;-43.2606;-19.16974;184.3845;36.84754;-51.37207;193.5469;-23.53034;-67.25243;201.226;-36.83644;-85.95995;200.1862;-31.14429;-107.8501;198.1175;-13.74313;0;0
44.44135;52.07602;122.0582;182.9989;21.1764;-78.37492;192.2506;55.41293;41.74943;222.068;44.91883;64.74879;212.9594;-43.5896;67.55864;195.2939;-61.66368;70.55359;174.8932;-59.24001;77.48635;149.8034;-43.2606;-19.61904;185.2364;37.24106;-51.34851;194.0943;-22.96627;-67.23332;201.2247;-36.01989;-85.84378;200.0558;-30.18824;-107.557;198.375;-12.82302;0;0
44.44135;52.07602;122.0582;182.9989;21.1764;-78.37492;192.2506;55.41293;41.74943;222.068;44.91883;64.74879;212.9594;-43.5896;67.55864;195.2939;-61.66368;70.55359;174.8932;-59.24001;77.48635;149.8034;-43.2606;-19.61904;185.2364;37.24106;-51.34851;194.0943;-22.96627;-67.23332;201.2247;-36.01989;-85.84378;200.0558;-30.18824;-107.557;198.375;-12.82302;0;0
35.24317;43.98582;122.5447;182.3628;21.12155;-78.48357;193.0585;55.99522;41.74943;222.068;44.91883;64.74879;212.9594;-43.5896;67.55864;195.2939;-61.66368;70.55359;174.8932;-59.24001;77.48635;149.8034;-43.2606;-19.77483;185.7031;37.6486;-51.18921;194.3565;-22.45227;-67.12665;201.7865;-35.53297;-85.80888;200.7619;-29.66368;-107.4524;199.2305;-12.22809;0;0
46.67468;34.46249;122.6403;181.3055;21.28682;-78.47596;193.7458;56.39137;41.74943;222.068;44.91883;64.74879;212.9594;-43.5896;67.55864;195.2939;-61.66368;70.55359;174.8932;-59.24001;77.48635;149.8034;-43.2606;-19.74568;186.0973;37.81999;-51.1184;194.5678;-22.11761;-66.92043;201.4656;-35.04109;-85.47049;200.239;-29.08007;-106.8882;199.0399;-11.64817;0;0
